nohup: ignoring input
[exp_hsv] seed=0  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 011/50 | train_loss=0.6905  train_acc=0.7669 | val_loss=0.6826  val_acc=0.7687 | 6.3s
Epoch 012/50 | train_loss=0.6553  train_acc=0.7782 | val_loss=0.7251  val_acc=0.7610 | 6.3s
Epoch 013/50 | train_loss=0.6436  train_acc=0.7821 | val_loss=0.6987  val_acc=0.7766 | 6.3s
Epoch 014/50 | train_loss=0.6300  train_acc=0.7875 | val_loss=0.6980  val_acc=0.7728 | 6.3s
Epoch 015/50 | train_loss=0.6292  train_acc=0.7921 | val_loss=0.6762  val_acc=0.7745 | 6.2s
Epoch 016/50 | train_loss=0.5981  train_acc=0.8010 | val_loss=0.6823  val_acc=0.7797 | 6.3s
Epoch 017/50 | train_loss=0.5779  train_acc=0.8073 | val_loss=0.6601  val_acc=0.7862 | 6.3s
Epoch 018/50 | train_loss=0.5687  train_acc=0.8083 | val_loss=0.6643  val_acc=0.7857 | 6.2s
Epoch 019/50 | train_loss=0.5624  train_acc=0.8108 | val_loss=0.6793  val_acc=0.7852 | 6.3s
Epoch 020/50 | train_loss=0.5600  train_acc=0.8116 | val_loss=0.6503  val_acc=0.7928 | 6.3s
Epoch 021/50 | train_loss=0.5361  train_acc=0.8219 | val_loss=0.6657  val_acc=0.7893 | 6.2s
Epoch 022/50 | train_loss=0.5638  train_acc=0.8134 | val_loss=0.6497  val_acc=0.7976 | 6.3s
Epoch 023/50 | train_loss=0.5301  train_acc=0.8240 | val_loss=0.6134  val_acc=0.8065 | 6.3s
Epoch 024/50 | train_loss=0.5105  train_acc=0.8294 | val_loss=0.6362  val_acc=0.8043 | 6.3s
Epoch 025/50 | train_loss=0.5095  train_acc=0.8316 | val_loss=0.6569  val_acc=0.7985 | 6.3s
Epoch 026/50 | train_loss=0.3978  train_acc=0.8645 | val_loss=0.5331  val_acc=0.8366 | 6.3s
Epoch 027/50 | train_loss=0.3650  train_acc=0.8749 | val_loss=0.5224  val_acc=0.8378 | 6.3s
Epoch 028/50 | train_loss=0.3507  train_acc=0.8802 | val_loss=0.5167  val_acc=0.8398 | 6.3s
Epoch 029/50 | train_loss=0.3439  train_acc=0.8820 | val_loss=0.5171  val_acc=0.8435 | 6.3s
Epoch 030/50 | train_loss=0.3271  train_acc=0.8882 | val_loss=0.5136  val_acc=0.8423 | 6.3s
Epoch 031/50 | train_loss=0.3251  train_acc=0.8880 | val_loss=0.5063  val_acc=0.8415 | 6.3s
Epoch 032/50 | train_loss=0.3185  train_acc=0.8907 | val_loss=0.5120  val_acc=0.8461 | 6.3s
Epoch 033/50 | train_loss=0.3123  train_acc=0.8926 | val_loss=0.5199  val_acc=0.8456 | 6.3s
Epoch 034/50 | train_loss=0.3110  train_acc=0.8949 | val_loss=0.5480  val_acc=0.8407 | 6.2s
Epoch 035/50 | train_loss=0.3046  train_acc=0.8947 | val_loss=0.5049  val_acc=0.8459 | 6.2s
Epoch 036/50 | train_loss=0.2955  train_acc=0.8977 | val_loss=0.5075  val_acc=0.8485 | 6.3s
Epoch 037/50 | train_loss=0.3002  train_acc=0.8965 | val_loss=0.5066  val_acc=0.8485 | 6.3s
Epoch 038/50 | train_loss=0.2898  train_acc=0.8996 | val_loss=0.5083  val_acc=0.8470 | 6.3s
Epoch 039/50 | train_loss=0.3123  train_acc=0.8994 | val_loss=0.5052  val_acc=0.8485 | 6.3s
Epoch 040/50 | train_loss=0.2794  train_acc=0.9028 | val_loss=0.5112  val_acc=0.8503 | 6.3s
Epoch 041/50 | train_loss=0.2779  train_acc=0.9027 | val_loss=0.5244  val_acc=0.8499 | 6.3s
Epoch 042/50 | train_loss=0.2736  train_acc=0.9044 | val_loss=0.5198  val_acc=0.8493 | 6.2s
Epoch 043/50 | train_loss=0.2708  train_acc=0.9060 | val_loss=0.5107  val_acc=0.8518 | 6.2s
Epoch 044/50 | train_loss=0.2684  train_acc=0.9066 | val_loss=0.5149  val_acc=0.8521 | 6.3s
Epoch 045/50 | train_loss=0.2642  train_acc=0.9086 | val_loss=0.5031  val_acc=0.8509 | 6.2s
Epoch 046/50 | train_loss=0.3224  train_acc=0.9076 | val_loss=0.5065  val_acc=0.8516 | 6.2s
Epoch 047/50 | train_loss=0.2573  train_acc=0.9097 | val_loss=0.5193  val_acc=0.8549 | 6.3s
Epoch 048/50 | train_loss=0.2533  train_acc=0.9132 | val_loss=0.5150  val_acc=0.8532 | 6.3s
Epoch 049/50 | train_loss=0.2503  train_acc=0.9127 | val_loss=0.5198  val_acc=0.8503 | 6.3s
Epoch 050/50 | train_loss=0.2466  train_acc=0.9141 | val_loss=0.5262  val_acc=0.8521 | 6.3s

Best val accuracy : 0.8549
Results saved to  : results_v8/exp_hsv_seed1
[exp_hsv] seed=1  device=cuda  colorspace=hsv  normalization=zscore
/home/stud/gnjinkap/miniforge3/envs/thesis/lib/python3.11/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Epoch 001/50 | train_loss=1.4844  train_acc=0.4570 | val_loss=1.3225  val_acc=0.5614 | 6.9s
Epoch 002/50 | train_loss=0.9918  train_acc=0.6525 | val_loss=0.8358  val_acc=0.7062 | 6.5s
Epoch 003/50 | train_loss=0.8008  train_acc=0.7250 | val_loss=0.7070  val_acc=0.7547 | 6.5s
Epoch 004/50 | train_loss=0.6922  train_acc=0.7619 | val_loss=0.6753  val_acc=0.7713 | 6.6s
Epoch 005/50 | train_loss=0.6157  train_acc=0.7898 | val_loss=0.5702  val_acc=0.8056 | 6.5s
Epoch 006/50 | train_loss=0.5550  train_acc=0.8103 | val_loss=0.5288  val_acc=0.8202 | 6.6s
Epoch 007/50 | train_loss=0.5050  train_acc=0.8258 | val_loss=0.5226  val_acc=0.8165 | 6.6s
